sentiment,review_body,product_category
-1,I loved the design and look to this shirt  but it ran way big for me. i loved the forgiving fit  but it just wasn't flattering at all. i even went down one size and it still was huge. sad to send this one back.,Blouses
-1,This is the most unflattering peplum top i have ever tried on. fit perfectly as a size 6 should in the arms  shoulder  chest... then the waist was huge! just hung off of me like a flour sack. it was wider than the chest measurements  which made me appear frumpy instead of tailored and classic. combine that with the high-low hemline and it looked like a project runway reject. sent back immediately  do not buy this if you have (or want to appear to have) an hourglass figure  it will do nothing for,Blouses
-1,"I have been looking for a nice  white tunic and i should have known when i saw this was one size fits all. maybe because i am petite (5'2"") but there was so much material hanging everywhere that it made me look even shorter and fat. who wants that? so sending it back.",Blouses
-1,This would be a great blouse for flat chested person. i am a size 12 and busty. i ordered an xl and it was ridiculously tight across the chest and the fabric is see through. you would need to wear a cami under it.,Blouses
-1,I tried on this top and it looked fine until i tried to move. you can't lift your arms. i tried on a larger size but still felt like the movement was limited in the back and arm areas.,Blouses
-1,I loved this tunic the first time i wore it. i ordered it in the red and it was very flattering on my post-pregnancy figure and extremely cute with leggings and boots - just what i wanted. it fit true to size  even with a few extra pounds around the chest area. imagine my horror when i pulled it out of the wash - having followed the directions on the tag exactly - and discovered it had shrunk and no longer fit properly. in particular the sleeves became incredibly  uncomfortably tight and much sh,Blouses
-1,I saw this very shirt online & thought it was so pretty. in person  the shirt seems flimsy. the buttons look as though they'd fall off. i also didn't like the cut of the shirt. it seemed to be tighter on top & looser on the bottom. had to return. i couldn't justify the cost with the quality.,Blouses
-1,While i love the design and shape of this blouse  the fabric was of very poor quality. i will return it.,Blouses
-1,I loved this top online and even more when i opened it up. however  the quality of the stitching is poor. where the seam comes together at the hip on both sides  the stitching is very loose and appears to be coming undone. i was bummed and am sending it back today.,Blouses
0,I really wanted to like this shirt but it doesn't seem to be of that great of quality and is much more sheer than indicated in the photographs. the shirt is very clingy and doesn't hang well. i sent it back,Blouses
0,First off  the other reviews are spot on regarding the quality of this top. the material is thick and pleasant feeling  the print is beautiful and the construction is nicely done. however  i just couldn't get past the fit issue  which was also mentioned by the other reviewers. i ordered a 14 for my 38 dd chest  and it was loose in all the wrong places. i'd be interested to see what a 12 looks like on me  but i'm afraid it would be too snug. this may look awesome on someone else  but i had to ret,Blouses
0,It's really cute but seems expensive for the type of fabric. i thought it would be more substantial. got lots of compliments .,Blouses
0,Fabric was a little more shear than i thought it would be - while not a big deal - it was missing a few of the silver beads along the front line of the top. returned,Blouses
0,The fit is slightly loose  but figure flattering  the fabric is semi sheer and the light  coral color is very pretty. however  after one  short wear i discovered fabric torn from both sides of the back seam. unfortunately  i need to return this blouse asap.,Blouses
0,"Thought i'd love this top; i'm a sucker for lace anything from retailer.  but i found the lace  while pretty  to be quite rough  which to me indicates a lower quality. and i guess i should've known that it would be very swingy (photos show that) but it really overwhelmed me.  for reference  5'5""  125 lbs  34d. sad  but this went back.",Blouses
0,I love a good peplum top  and was so excited when it arrived  but was sad to find the flare on the peplum was a little too much. i'm not sure why it was so unflattering  because in every other way  it fit like a dream  but it seemed like either there was too much or too little fabric around the waist to have it hang properly. it had to go back.,Blouses
0,I wanted to love this top to go with a pair of red flats i also bought at retailer. but it's almost like a peplum crop top because the cut is short. the peplum piece also flares out rather dramatically. had to return it even though i love other tops from maeve.,Blouses
0,I ordered this top because i liked the look in the back  however  the top i received looks nothing like the back. online it shows that the back has elastic & is gathered. also online it shows thin straps (that look like a bra strap) but my top has no thin straps & no elastic~ extremely odd!! i called customer service but the lady i spoke to didn't have any information or complaints about the top. i'm holding on to the top because it is cute from the front  but i was really wanting the back to lo,Blouses
1,This blouse is so beautiful and feminine. it fits loosely and is see thru  so you do need to wear a cami underneath it. it is very comfortable to wear. i got many compliments when i wore this blouse. all the delicate lace on it just makes you feel very pretty in it. however  be extra careful when you do wear it. i'm still not quite sure how it happened  but the lace in the front got a small hole right in the front on my first time wearing it. it's so pretty i just hope i can get it fixed so it w,Blouses
1,"I bought this top in ivory and love it! i'm 5'5"" 125lbs and 32dd. i usually wear a small or 4 but sized up to a 6..i have no issues with the fabric!! this is a steal for the sale price.",Blouses
